commit	event	strategy_name	sharpe	max_dd	note
69b586d	create	MeanRevBB	-1.2370	-56.1929	raw BB-lower-bounce, no profit_only. wr 63.8% but pf 0.79 w/ 1021 trades → catching falling knives in bearish/sideways legs. classic MR-in-trend problem. next: add regime filter.
69b586d	create	TrendEMAStack	-1.0552	-61.1972	9/21/50 EMA stack + close>ema9 as state. 1577 trades, wr 22.5%, pf 0.87. overtrades — state-condition fires every bar when aligned, fees eat returns. fix: require stack crossover event, not state.
69b586d	create	VolSqueezeBreak	-0.6614	-45.9079	BB-width bottom-20%-100bar squeeze + close>upper breakout. 509 trades, wr 27%. least-bad of three; false breakouts dominate. next: tighten squeeze threshold or require volume/ATR expansion on break.
bde2301	stable	MeanRevBB	-1.2370	-56.1929	untouched round 1. stagnation=1.
bde2301	evolve	TrendEMAStack	0.3049	-18.7571	entry state→crossover. sharpe -1.06→+0.30, profit -54%→+27%, DD -61%→-19%, trades 1577→466, pf 0.87→1.17. overtrading fee-drag hypothesis confirmed. now has real edge — keep.
bde2301	stable	VolSqueezeBreak	-0.6614	-45.9079	untouched round 1. stagnation=1.
7a032ad	evolve	MeanRevBB	-0.3588	-21.4026	+EMA200 regime filter (close>EMA200). sharpe -1.24→-0.36, DD -56→-21, trades 1021→387, pf 0.79→0.85. regime filter worked — knife-catching cut. wr 66% but pf still <1: losers ~2.3x winners, need loss control or bigger winners.
7a032ad	stable	TrendEMAStack	0.3049	-18.7571	untouched. stagnation=1.
7a032ad	stable	VolSqueezeBreak	-0.6614	-45.9079	untouched. stagnation=2.
89cb27d	evolve	MeanRevBB	-0.4703	-23.3492	+5% hard stop. sharpe -0.36→-0.47, pf 0.85→0.81 — REGRESSED. stop cuts recoverable BB bounces; v0.1.0 aha#1 replaying. revert next round, try bb_upper exit instead.
89cb27d	stable	TrendEMAStack	0.3049	-18.7571	untouched. stagnation=2.
89cb27d	evolve	VolSqueezeBreak	-0.3757	-34.3259	squeeze q20→q10 (rarer/stricter). sharpe -0.66→-0.38, DD -46→-34, pf 0.79→0.83, trades 509→367. tighter squeeze = fewer false breakouts. still negative — exit probably too defensive next.
318b965	evolve	MeanRevBB	0.0934	-28.8279	revert stop to -0.99 AND exit bb_middle→bb_upper. sharpe -0.47→+0.09 (first positive!), profit -22→+10%, pf 0.81→1.05. bigger winners offset no-stop tail. DD -23→-29 cost accepted. v0.1.0 aha#1 replicated: stops hurt MR on 1h.
318b965	stable	TrendEMAStack	0.3049	-18.7571	untouched. stagnation=3 — MUST touch next round.
318b965	evolve	VolSqueezeBreak	-0.2892	-45.3238	exit bb_middle→bb_lower (patient). sharpe -0.38→-0.29 marginal, but DD -34→-45 worse. too patient — losers held longer turn into full squeeze reversals. need time cap or different exit trigger.
90a9371	stable	MeanRevBB	0.0934	-28.8279	untouched. stagnation=1.
90a9371	evolve	TrendEMAStack	-0.0941	-15.2831	+ADX>20 filter. sharpe 0.30→-0.09 — REGRESSED. trades 466→151 (2/3 cut) but winners cut proportionally. ADX at crossover moment lags; ema21>ema50 already filtered slow trend. reverting.
90a9371	stable	VolSqueezeBreak	-0.2892	-45.3238	untouched. stagnation=2.
1bceec9	stable	MeanRevBB	0.0934	-28.8279	untouched. stagnation=2.
1bceec9	evolve	TrendEMAStack	0.4028	-14.8842	revert ADX; exit simplified to ema9<ema21 only (dropped close<ema21 clause). sharpe 0.30→0.40, profit +27→+50%, DD -19→-15, pf 1.17→1.21. patient exit captured pullback recoveries. new portfolio lead.
1bceec9	evolve	VolSqueezeBreak	-0.1764	-37.9467	+volume>SMA20 filter. sharpe -0.29→-0.18, profit -29→-18%, pf 0.85→0.90, wr 29→31%. volume expansion filters paper breakouts. still negative, trajectory right.
3827175	evolve	MeanRevBB	0.2280	-22.1275	entry now confirmed-reversal (prev close<lower AND now>lower). sharpe 0.09→0.23, profit +10→+23%, wr 65→72.5%, pf 1.05→1.14. waiting for turn beats catching the knife. clean positive edge.
