commit	event	strategy_name	sharpe	max_dd	note
18b9e2a	create	LeaderVolumeMomentum	0.2813	-6.70	Round 1 root momentum baseline. Good clean DD and pf 1.58, but only 99 trades and pair edge is AVAX/SOL-heavy; BTC flat, BNB negative with 4 trades. Need improve sample balance without adding noise.
18b9e2a	create	PanicReboundMTF	0.3127	-18.90	Round 1 root MTF mean-reversion baseline. Best initial Sharpe; 237 trades, 63% wr, pf 1.23. BNB/SOL strongest, AVAX negative. Hypothesis works broadly but DD too high and AVAX is weak link.
18b9e2a	create	RangeExpansionBreakout	0.2004	-11.65	Round 1 root volatility breakout baseline. Positive aggregate with 309 trades; BTC/ETH/SOL positive, BNB/AVAX negative. Breakout paradigm viable but needs pair/noise filtering.
818c931	stable	LeaderVolumeMomentum	0.2813	-6.70	Stable while testing breakout BTC confirmation. Still low-DD positive but thin sample, especially BNB.
818c931	stable	PanicReboundMTF	0.3127	-18.90	Stable while testing breakout. Still best raw Sharpe among untouched baselines but AVAX remains negative and DD high.
818c931	evolve	RangeExpansionBreakout	0.3201	-3.97	Added BTC ROC>2 and RSI>50 confirmation. Strong improvement: Sharpe 0.20→0.32, DD -11.7→-4.0, trades 309→168, AVAX flips positive. BNB worsens (-0.21, pf 0.21), so leader confirmation helps except BNB.
bf1c985	stable	LeaderVolumeMomentum	0.2813	-6.70	Stable. 2nd consecutive stable; needs evolution soon to address thin sample/BNB inactivity.
bf1c985	evolve	PanicReboundMTF	0.3323	-18.75	Tightened BTC RSI 42→40. Modest improvement: Sharpe 0.313→0.332, AVAX loss shrinks -4.0%→-2.0%, pf 1.23→1.25. Kept; stricter market panic helps without starving trades.
bf1c985	stable	RangeExpansionBreakout	0.3201	-3.97	Stable after round-2 improvement. BNB remains negative but overall low-DD profile is attractive.
fc746bc	evolve	LeaderVolumeMomentum	0.2760	-7.25	DISCARDED (reset): relaxed volume threshold 1.05×→1.0×. Trades 99→103 but Sharpe 0.281→0.276 and DD worsened. Extra trades are noise; revert to stricter volume.
fc746bc	stable	PanicReboundMTF	0.3323	-18.75	Stable during discarded momentum test.
fc746bc	stable	RangeExpansionBreakout	0.3201	-3.97	Stable during discarded momentum test.
7264d7d	stable	LeaderVolumeMomentum	0.2813	-6.70	Stable after reverting discarded volume relaxation. Still needs a better way to improve BNB/sample without adding noisy trades.
7264d7d	stable	PanicReboundMTF	0.3323	-18.75	Stable. 2nd consecutive since BTC RSI improvement; DD/AVAX still next target.
